INFO buildroot.py:348:  Mock Version: 1.4.8
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/cauldron/x86_64/dev/pts
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/cauldron/x86_64/dev/pts
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/cauldron/x86_64/dev/shm
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/cauldron/x86_64/dev/shm
DEBUG buildroot.py:479:  kernel version == 4.14.15-server-2.mga7
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/cauldron/x86_64/etc/fstab
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/cauldron/x86_64/etc/yum/yum.conf
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/cauldron/x86_64/etc/dnf/dnf.conf
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/cauldron/x86_64/var/log/yum.log
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/cauldron/x86_64/var/cache/dnf/
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/mageia-cauldron-x86_64/dnf_cache/', '/home/stig/rpmbuild/mock/cauldron/x86_64/var/cache/dnf/'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG buildroot.py:142:  rootdir = /home/stig/rpmbuild/mock/cauldron/x86_64
DEBUG buildroot.py:143:  resultdir = mock
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/cauldron/x86_64/etc/pki/mock
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/cauldron/x86_64/etc/dnf
DEBUG util.py:636:  child environment: None
